milestone,run_id,module,model,source_summary,checkpoint_path,best_val_balanced_accuracy,best_val_f1_macro,best_threshold,test_accuracy,test_balanced_accuracy,test_f1_macro,test_loss,notes
baseline_bilstm,rnn_bilstm_copur,rnn,bilstm,/home/bear/engagement-cpu/checkpoints/runs/rnn_train_eval_rnn_bilstm_copur/train_eval_summary.json,/home/bear/engagement-cpu/checkpoints/runs/rnn_train_eval_rnn_bilstm_copur/engagement_bilstm.pt,0.586992309952978,0.5797776373234043,0.3899999999999999,0.5067264573991032,0.558721232994254,0.5033312904023609,0.5323077638053039,kept for report
cnn_best,phase34_cnn,cnn,efficientnet_b0,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_20260523_030236/cnn/train_eval_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_phase34_20260523_030236/cnn/engagement_cnn.pt,0.64108934169279,,0.18999999999999995,0.7090807174887892,0.5308677590583891,0.4779823046569096,0.436180527732493,kept for report
final,train_all_ml,ml,,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/trainml_train_all_ml/engagement_xgb.json,0.6135937499999999,,0.49000000000000005,0.7051569506726457,0.6933758218087782,,,kept for report
final,train_all_rnn_gru,rnn,gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru/engagement_gru.pt,0.6099752155172413,0.6066186374776383,0.6299999999999997,0.7197309417040358,0.7734914520051839,0.7122313298783887,0.34133113014987004,kept for report
final,train_all_rnn_gru_basic,rnn,gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru_basic/engagement_gru_basic.pt,0.5940876763322884,0.5897672979170248,0.6099999999999998,0.6418161434977578,0.706603170658098,0.6376628763498534,0.40051819190729265,kept for report
final,train_all_rnn_tcn,rnn,tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_train_all_20260529_170448/rnn_tcn/engagement_tcn.pt,0.6052987852664578,0.6032090183311885,0.6099999999999998,0.6967488789237668,0.7251963168764461,0.683041298647133,0.36073793275833765,kept for report
final,train_all_rnn_tiny_transformer,rnn,tiny_transformer,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_train_all_20260529_170448/rnn_tiny_transformer/engagement_tiny_transformer.pt,0.5851344043887148,0.582222195834745,0.5499999999999998,0.6754484304932735,0.6474003917461106,0.6375315951317442,0.4167430352796162,kept for report
openface_pca160,trainml_openface709_safe_train_20260525_ml_pca160_tsfresh,ml,xgboost,/home/bear/engagement-cpu/checkpoints/runs/trainml_openface709_safe_train_20260525_ml_pca160_tsfresh/engagement_xgb.summary.json,/home/bear/engagement-cpu/checkpoints/runs/trainml_openface709_safe_train_20260525_ml_pca160_tsfresh/engagement_xgb.json,0.6184375,,0.4700000000000001,0.6129484304932735,0.58918733393693,,,kept for report
phase12,phase12_cnn,cnn,mobilenet_v3_small,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_phase12_20260523_011612/cnn/engagement_cnn.pt,0.573511339145768,,0.11,0.6866591928251121,0.5049870700113026,0.43924954074687184,0.5196456448866589,kept for report
phase12,phase12_ml,ml,,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/trainml_phase12_ml/engagement_xgb.json,0.6121106974921631,,0.49000000000000005,0.6132286995515696,0.5907969252072645,,,kept for report
phase12,phase12_rnn_gru,rnn,gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_phase12_20260523_011612/rnn_gru/engagement_gru.pt,0.6061133424764891,0.6014865094288976,0.3199999999999999,0.500560538116592,0.550055625580666,0.49685985299661595,0.570548319490497,kept for report
phase12,phase12_rnn_gru_basic,rnn,gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_phase12_20260523_011612/rnn_gru_basic/engagement_gru_basic.pt,0.6112545062695924,0.6110488812723041,0.16999999999999998,0.6378923766816144,0.5599395219750631,0.5611566786233788,0.5942476421153865,kept for report
phase12,phase12_rnn_tcn,rnn,tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_phase12_20260523_011612/rnn_tcn/engagement_tcn.pt,0.6102889890282132,0.6042056037671615,0.14999999999999997,0.6418161434977578,0.5428035884417144,0.542563184790307,0.5753510735873504,kept for report
phase12,phase12_rnn_tiny_transformer,rnn,tiny_transformer,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/train_all_summary.json,/home/bear/engagement-cpu/scripts/../checkpoints/runs/train_all_phase12_20260523_011612/rnn_tiny_transformer/engagement_tiny_transformer.pt,0.6151392045454545,0.6127332958514237,0.30999999999999994,0.54652466367713,0.5539967571469995,0.5284794608042525,0.5087938670565657,kept for report
phase34_nocnn,phase34_nocnn_train_ml,ml,,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/train_all_summary.json,/home/bear/engagement-cpu/checkpoints/runs/trainml_phase34_nocnn_train_ml/engagement_xgb.json,0.6110748922413793,,0.49000000000000005,0.6289237668161435,0.5836780344050134,,,kept for report
phase34_nocnn,phase34_nocnn_train_rnn_gru,rnn,gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/train_all_summary.json,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_gru/engagement_gru.pt,0.6010109717868338,0.5996973018485637,0.2899999999999999,0.5627802690582959,0.572875428287383,0.5452780838623913,0.5418503680036741,kept for report
phase34_nocnn,phase34_nocnn_train_rnn_gru_basic,rnn,gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/train_all_summary.json,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_gru_basic/engagement_gru_basic.pt,0.6142647923197493,0.61231225823147,0.13999999999999999,0.6569506726457399,0.5583151366673176,0.5592316039685821,0.5406642275540818,kept for report
phase34_nocnn,phase34_nocnn_train_rnn_tcn,rnn,tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/train_all_summary.json,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_tcn/engagement_tcn.pt,0.585605652429467,0.5738482930702742,0.45999999999999985,0.5151345291479821,0.5794957600288779,0.5134490739937906,0.46671780075192987,kept for report
