=== fusion sweep xgb started at Thu Jun 18 14:47:52 UTC 2026 ===
2026-06-18 14:48:19 | INFO | Loading probabilities for final_xgb
2026-06-18 14:49:16 | INFO | Loaded 5000/14290 feature rows
2026-06-18 14:50:24 | INFO | Loaded 10000/14290 feature rows
2026-06-18 14:52:35 | INFO | Loaded 5000/17986 feature rows
2026-06-18 14:53:44 | INFO | Loaded 10000/17986 feature rows
2026-06-18 14:54:53 | INFO | Loaded 15000/17986 feature rows
2026-06-18 14:55:59 | INFO | Loading probabilities for boost_xgb
2026-06-18 14:57:16 | INFO | Loaded 5000/14290 feature rows
2026-06-18 14:58:10 | INFO | Loaded 10000/14290 feature rows
2026-06-18 15:00:14 | INFO | Loaded 5000/17986 feature rows
2026-06-18 15:01:00 | INFO | Loaded 10000/17986 feature rows
2026-06-18 15:01:54 | INFO | Loaded 15000/17986 feature rows
2026-06-18 15:03:08 | INFO | Loading probabilities for targeted_xgb
2026-06-18 15:03:36 | INFO | Loaded 5000/14290 feature rows
2026-06-18 15:04:01 | INFO | Loaded 10000/14290 feature rows
2026-06-18 15:04:50 | INFO | Loaded 5000/17986 feature rows
2026-06-18 15:05:16 | INFO | Loaded 10000/17986 feature rows
2026-06-18 15:05:40 | INFO | Loaded 15000/17986 feature rows
2026-06-18 15:08:38 | INFO | [fusion] test_acc=0.7416 test_bal=0.7759 test_f1=0.7630 | weights={'final_xgb': 0.9, 'boost_xgb': 0.05, 'targeted_xgb': 0.05} bias=0.30 temp=0.85
=== fusion sweep xgb finished at Thu Jun 18 15:08:40 UTC 2026 ===
